"","gutenberg_id","text"
"1",500,"Dashes; small checks; quick pass; gutchecked twice; jeebies; spellcheck"
"2",500,""
"3",500,""
"4",500,"THE ADVENTURES OF PINOCCHIO"
"5",500,""
"6",500,"by C. Collodi"
"7",500,""
"8",500,"[Pseudonym of Carlo Lorenzini]"
"9",500,""
"10",500,""
"11",500,"Translated from the Italian by Carol Della Chiesa"
"12",500,""
"13",500,""
"14",500,""
"15",500,""
"16",500,""
"17",500,"CHAPTER 1"
"18",500,""
"19",500,"How it happened that Mastro Cherry, carpenter, found a piece of wood"
"20",500,"that wept and laughed like a child."
"21",500,""
"22",500,""
"23",500,"Centuries ago there lived--"
"24",500,""
"25",500,"""A king!"" my little readers will say immediately."
"26",500,""
"27",500,"No, children, you are mistaken. Once upon a time there was a piece of"
"28",500,"wood. It was not an expensive piece of wood. Far from it. Just a common"
"29",500,"block of firewood, one of those thick, solid logs that are put on the"
"30",500,"fire in winter to make cold rooms cozy and warm."
"31",500,""
"32",500,"I do not know how this really happened, yet the fact remains that"
"33",500,"one fine day this piece of wood found itself in the shop of an old"
"34",500,"carpenter. His real name was Mastro Antonio, but everyone called him"
"35",500,"Mastro Cherry, for the tip of his nose was so round and red and shiny"
"36",500,"that it looked like a ripe cherry."
"37",500,""
"38",500,"As soon as he saw that piece of wood, Mastro Cherry was filled with joy."
"39",500,"Rubbing his hands together happily, he mumbled half to himself:"
"40",500,""
"41",500,"""This has come in the nick of time. I shall use it to make the leg of a"
"42",500,"table."""
"43",500,""
"44",500,"He grasped the hatchet quickly to peel off the bark and shape the wood."
"45",500,"But as he was about to give it the first blow, he stood still with arm"
"46",500,"uplifted, for he had heard a wee, little voice say in a beseeching tone:"
"47",500,"""Please be careful! Do not hit me so hard!"""
"48",500,""
"49",500,"What a look of surprise shone on Mastro Cherry's face! His funny face"
"50",500,"became still funnier."
"51",500,""
"52",500,"He turned frightened eyes about the room to find out where that wee,"
"53",500,"little voice had come from and he saw no one! He looked under the"
"54",500,"bench--no one! He peeped inside the closet--no one! He searched among"
"55",500,"the shavings--no one! He opened the door to look up and down the"
"56",500,"street--and still no one!"
"57",500,""
"58",500,"""Oh, I see!"" he then said, laughing and scratching his Wig. ""It can"
"59",500,"easily be seen that I only thought I heard the tiny voice say the words!"
"60",500,"Well, well--to work once more."""
"61",500,""
"62",500,"He struck a most solemn blow upon the piece of wood."
"63",500,""
"64",500,"""Oh, oh! You hurt!"" cried the same far-away little voice."
"65",500,""
"66",500,"Mastro Cherry grew dumb, his eyes popped out of his head, his mouth"
"67",500,"opened wide, and his tongue hung down on his chin."
"68",500,""
"69",500,"As soon as he regained the use of his senses, he said, trembling and"
"70",500,"stuttering from fright:"
"71",500,""
"72",500,"""Where did that voice come from, when there is no one around? Might it"
"73",500,"be that this piece of wood has learned to weep and cry like a child? I"
"74",500,"can hardly believe it. Here it is--a piece of common firewood, good"
"75",500,"only to burn in the stove, the same as any other. Yet--might someone be"
"76",500,"hidden in it? If so, the worse for him. I'll fix him!"""
"77",500,""
"78",500,"With these words, he grabbed the log with both hands and started to"
"79",500,"knock it about unmercifully. He threw it to the floor, against the walls"
"80",500,"of the room, and even up to the ceiling."
"81",500,""
"82",500,"He listened for the tiny voice to moan and cry. He waited two"
"83",500,"minutes--nothing; five minutes--nothing; ten minutes--nothing."
"84",500,""
"85",500,"""Oh, I see,"" he said, trying bravely to laugh and ruffling up his wig"
"86",500,"with his hand. ""It can easily be seen I only imagined I heard the tiny"
"87",500,"voice! Well, well--to work once more!"""
"88",500,""
"89",500,"The poor fellow was scared half to death, so he tried to sing a gay song"
"90",500,"in order to gain courage."
"91",500,""
"92",500,"He set aside the hatchet and picked up the plane to make the wood smooth"
"93",500,"and even, but as he drew it to and fro, he heard the same tiny voice."
"94",500,"This time it giggled as it spoke:"
"95",500,""
"96",500,"""Stop it! Oh, stop it! Ha, ha, ha! You tickle my stomach."""
"97",500,""
"98",500,"This time poor Mastro Cherry fell as if shot. When he opened his eyes,"
"99",500,"he found himself sitting on the floor."
"100",500,""
"101",500,"His face had changed; fright had turned even the tip of his nose from"
"102",500,"red to deepest purple."
"103",500,""
"104",500,""
"105",500,""
