"","gutenberg_id","text"
"1",140,"THE JUNGLE"
"2",140,""
"3",140,"by Upton Sinclair"
"4",140,""
"5",140,""
"6",140,"(1906)"
"7",140,""
"8",140,""
"9",140,""
"10",140,""
"11",140,""
"12",140,"Chapter 1"
"13",140,""
"14",140,""
"15",140,"It was four o'clock when the ceremony was over and the carriages began"
"16",140,"to arrive. There had been a crowd following all the way, owing to the"
"17",140,"exuberance of Marija Berczynskas. The occasion rested heavily upon"
"18",140,"Marija's broad shoulders--it was her task to see that all things went in"
"19",140,"due form, and after the best home traditions; and, flying wildly"
"20",140,"hither and thither, bowling every one out of the way, and scolding and"
"21",140,"exhorting all day with her tremendous voice, Marija was too eager to see"
"22",140,"that others conformed to the proprieties to consider them herself. She"
"23",140,"had left the church last of all, and, desiring to arrive first at the"
"24",140,"hall, had issued orders to the coachman to drive faster. When that"
"25",140,"personage had developed a will of his own in the matter, Marija had"
"26",140,"flung up the window of the carriage, and, leaning out, proceeded to"
"27",140,"tell him her opinion of him, first in Lithuanian, which he did not"
"28",140,"understand, and then in Polish, which he did. Having the advantage of"
"29",140,"her in altitude, the driver had stood his ground and even ventured to"
"30",140,"attempt to speak; and the result had been a furious altercation, which,"
"31",140,"continuing all the way down Ashland Avenue, had added a new swarm of"
"32",140,"urchins to the cortege at each side street for half a mile."
"33",140,""
"34",140,"This was unfortunate, for already there was a throng before the door."
"35",140,"The music had started up, and half a block away you could hear the dull"
"36",140,"""broom, broom"" of a cello, with the squeaking of two fiddles which vied"
"37",140,"with each other in intricate and altitudinous gymnastics. Seeing"
"38",140,"the throng, Marija abandoned precipitately the debate concerning the"
"39",140,"ancestors of her coachman, and, springing from the moving carriage,"
"40",140,"plunged in and proceeded to clear a way to the hall. Once within, she"
"41",140,"turned and began to push the other way, roaring, meantime, ""Eik! Eik!"
"42",140,"Uzdaryk-duris!"" in tones which made the orchestral uproar sound like"
"43",140,"fairy music."
"44",140,""
"45",140,"""Z. Graiczunas, Pasilinksminimams darzas. Vynas. Sznapsas. Wines and"
"46",140,"Liquors. Union Headquarters""--that was the way the signs ran. The"
"47",140,"reader, who perhaps has never held much converse in the language of"
"48",140,"far-off Lithuania, will be glad of the explanation that the place was"
"49",140,"the rear room of a saloon in that part of Chicago known as ""back of the"
"50",140,"yards."" This information is definite and suited to the matter of fact;"
"51",140,"but how pitifully inadequate it would have seemed to one who understood"
"52",140,"that it was also the supreme hour of ecstasy in the life of one of"
"53",140,"God's gentlest creatures, the scene of the wedding feast and the"
"54",140,"joy-transfiguration of little Ona Lukoszaite!"
"55",140,""
"56",140,"She stood in the doorway, shepherded by Cousin Marija, breathless from"
"57",140,"pushing through the crowd, and in her happiness painful to look upon."
"58",140,"There was a light of wonder in her eyes and her lids trembled, and"
"59",140,"her otherwise wan little face was flushed. She wore a muslin dress,"
"60",140,"conspicuously white, and a stiff little veil coming to her shoulders."
"61",140,"There were five pink paper roses twisted in the veil, and eleven bright"
"62",140,"green rose leaves. There were new white cotton gloves upon her hands,"
"63",140,"and as she stood staring about her she twisted them together feverishly."
"64",140,"It was almost too much for her--you could see the pain of too great"
"65",140,"emotion in her face, and all the tremor of her form. She was so"
"66",140,"young--not quite sixteen--and small for her age, a mere child; and she"
"67",140,"had just been married--and married to Jurgis,* (*Pronounced Yoorghis) of"
"68",140,"all men, to Jurgis Rudkus, he with the white flower in the buttonhole of"
"69",140,"his new black suit, he with the mighty shoulders and the giant hands."
"70",140,""
"71",140,"Ona was blue-eyed and fair, while Jurgis had great black eyes with"
"72",140,"beetling brows, and thick black hair that curled in waves about his"
"73",140,"ears--in short, they were one of those incongruous and impossible"
"74",140,"married couples with which Mother Nature so often wills to"
"75",140,"confound all prophets, before and after. Jurgis could take up a"
"76",140,"two-hundred-and-fifty-pound quarter of beef and carry it into a car"
"77",140,"without a stagger, or even a thought; and now he stood in a far corner,"
"78",140,"frightened as a hunted animal, and obliged to moisten his lips with"
"79",140,"his tongue each time before he could answer the congratulations of his"
"80",140,"friends."
"81",140,""
"82",140,"Gradually there was effected a separation between the spectators and"
"83",140,"the guests--a separation at least sufficiently complete for working"
"84",140,"purposes. There was no time during the festivities which ensued when"
"85",140,"there were not groups of onlookers in the doorways and the corners;"
"86",140,"and if any one of these onlookers came sufficiently close, or looked"
"87",140,"sufficiently hungry, a chair was offered him, and he was invited to the"
"88",140,"feast. It was one of the laws of the veselija that no one goes hungry;"
"89",140,"and, while a rule made in the forests of Lithuania is hard to apply"
"90",140,"in the stockyards district of Chicago, with its quarter of a million"
"91",140,"inhabitants, still they did their best, and the children who ran in"
"92",140,"from the street, and even the dogs, went out again happier. A charming"
"93",140,"informality was one of the characteristics of this celebration. The men"
"94",140,"wore their hats, or, if they wished, they took them off, and their coats"
"95",140,"with them; they ate when and where they pleased, and moved as often as"
"96",140,"they pleased. There were to be speeches and singing, but no one had to"
"97",140,"listen who did not care to; if he wished, meantime, to speak or sing"
"98",140,"himself, he was perfectly free. The resulting medley of sound distracted"
"99",140,"no one, save possibly alone the babies, of which there were present a"
"100",140,"number equal to the total possessed by all the guests invited. There was"
"101",140,"no other place for the babies to be, and so part of the preparations"
"102",140,"for the evening consisted of a collection of cribs and carriages in one"
"103",140,"corner. In these the babies slept, three or four together, or wakened"
"104",140,"together, as the case might be. Those who were still older, and could"
"105",140,"reach the tables, marched about munching contentedly at meat bones and"
"106",140,"bologna sausages."
"107",140,""
"108",140,""
"109",140,"The room is about thirty feet square, with whitewashed walls, bare save"
"110",140,"for a calendar, a picture of a race horse, and a family tree in a gilded"
"111",140,"frame. To the right there is a door from the saloon, with a few loafers"
"112",140,"in the doorway, and in the corner beyond it a bar, with a presiding"
"113",140,"genius clad in soiled white, with waxed black mustaches and a carefully"
"114",140,"oiled curl plastered against one side of his forehead. In the opposite"
"115",140,"corner are two tables, filling a third of the room and laden with"
"116",140,"dishes and cold viands, which a few of the hungrier guests are already"
"117",140,"munching. At the head, where sits the bride, is a snow-white cake, with"
"118",140,"an Eiffel tower of constructed decoration, with sugar roses and two"
"119",140,"angels upon it, and a generous sprinkling of pink and green and yellow"
"120",140,"candies. Beyond opens a door into the kitchen, where there is a glimpse"
"121",140,"to be had of a range with much steam ascending from it, and many women,"
"122",140,"old and young, rushing hither and thither. In the corner to the left are"
"123",140,"the three musicians, upon a little platform, toiling heroically to make"
"124",140,"some impression upon the hubbub; also the babies, similarly occupied,"
"125",140,"and an open window whence the populace imbibes the sights and sounds and"
"126",140,"odors."
"127",140,""
"128",140,"Suddenly some of the steam begins to advance, and, peering through it,"
"129",140,"you discern Aunt Elizabeth, Ona's stepmother--Teta Elzbieta, as they"
"130",140,"call her--bearing aloft a great platter of stewed duck. Behind her is"
"131",140,"Kotrina, making her way cautiously, staggering beneath a similar burden;"
"132",140,"and half a minute later there appears old Grandmother Majauszkiene, with"
"133",140,"a big yellow bowl of smoking potatoes, nearly as big as herself. So, bit"
"134",140,"by bit, the feast takes form--there is a ham and a dish of sauerkraut,"
"135",140,"boiled rice, macaroni, bologna sausages, great piles of penny buns,"
"136",140,"bowls of milk, and foaming pitchers of beer. There is also, not six feet"
"137",140,"from your back, the bar, where you may order all you please and do not"
"138",140,"have to pay for it. ""Eiksz! Graicziau!"" screams Marija Berczynskas, and"
"139",140,"falls to work herself--for there is more upon the stove inside that will"
"140",140,"be spoiled if it be not eaten."
"141",140,""
"142",140,"So, with laughter and shouts and endless badinage and merriment, the"
"143",140,"guests take their places. The young men, who for the most part have"
"144",140,"been huddled near the door, summon their resolution and advance; and the"
"145",140,"shrinking Jurgis is poked and scolded by the old folks until he consents"
"146",140,"to seat himself at the right hand of the bride. The two bridesmaids,"
"147",140,"whose insignia of office are paper wreaths, come next, and after them"
"148",140,"the rest of the guests, old and young, boys and girls. The spirit of the"
"149",140,"occasion takes hold of the stately bartender, who condescends to a plate"
"150",140,"of stewed duck; even the fat policeman--whose duty it will be, later in"
"151",140,"the evening, to break up the fights--draws up a chair to the foot of the"
"152",140,"table. And the children shout and the babies yell, and every one laughs"
"153",140,"and sings and chatters--while above all the deafening clamor Cousin"
"154",140,"Marija shouts orders to the musicians."
"155",140,""
"156",140,"The musicians--how shall one begin to describe them? All this time they"
"157",140,"have been there, playing in a mad frenzy--all of this scene must be"
"158",140,"read, or said, or sung, to music. It is the music which makes it what"
"159",140,"it is; it is the music which changes the place from the rear room of"
"160",140,"a saloon in back of the yards to a fairy place, a wonderland, a little"
"161",140,"corner of the high mansions of the sky."
"162",140,""
"163",140,"The little person who leads this trio is an inspired man. His fiddle"
"164",140,"is out of tune, and there is no rosin on his bow, but still he is an"
"165",140,"inspired man--the hands of the muses have been laid upon him. He plays"
"166",140,"like one possessed by a demon, by a whole horde of demons. You can"
"167",140,"feel them in the air round about him, capering frenetically; with their"
"168",140,"invisible feet they set the pace, and the hair of the leader of the"
"169",140,"orchestra rises on end, and his eyeballs start from their sockets, as he"
"170",140,"toils to keep up with them."
"171",140,""
"172",140,"Tamoszius Kuszleika is his name, and he has taught himself to play the"
